дата,номер_документа,контрагент,товар,количество,цена,сумма,дата_оплаты,менеджер
2024-01-24,РН-202401-0024,ТОО Каспий Логистик,Флеш-накопитель 32 ГБ,45,53500,2407500,2024-02-23,Айгуль Нурланова
2024-01-25,РН-202401-0025,ИП Тлеуов Б.М.,Флеш-накопитель 32 ГБ,34,79200,2692800,2024-02-12,Айгуль Нурланова
2024-01-25,РН-202401-0026,ИП Ахметов Е.С.,Бумага А4 (пачка),1,145000,145000,2024-01-29,Айгуль Нурланова
2024-01-27,РН-202401-0027,ТОО Nur Business Group,Проектор,9,133700,1203300,2024-02-18,Айгуль Нурланова
2024-01-27,РН-202401-0028,ТОО Shymkent Opt,Степлер,22,53300,1172600,2024-01-27,Айгуль Нурланова
2024-01-30,РН-202401-0029,ИП Иванова О.В.,Принтер лазерный,26,133900,3481400,2024-02-10,Айгуль Нурланова
2024-01-30,РН-202401-0030,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,37,84600,3130200,2024-02-19,Айгуль Нурланова
2024-01-30,РН-202401-0031,ИП Тлеуов Б.М.,Кресло офисное,40,64200,2568000,2024-02-01,Дана Оспанова
2024-01-30,РН-202401-0032,ИП Иванова О.В.,Кресло офисное,28,85100,2382800,2024-02-29,Дана Оспанова
2024-01-31,РН-202401-0033,ТОО КазОфисТорг,Флеш-накопитель 32 ГБ,14,60300,844200,2024-02-12,Тимур Сергеев
2024-01-31,РН-202401-0034,ТОО Каспий Логистик,Принтер лазерный,11,5700,62700,2024-02-16,Тимур Сергеев
2024-01-31,РН-202401-0035,ТОО Алматы Строй Сервис,Монитор 24 дюйма,19,79100,1502900,2024-02-14,Дана Оспанова
2024-02-01,РН-202402-0036,ТОО Аспан Технолоджи,Бумага А4 (пачка),41,56900,2332900,,Тимур Сергеев
2024-02-02,РН-202402-0037,ТОО Достык Trade,Стол офисный,10,74600,746000,,Айгуль Нурланова
2024-02-02,РН-202402-0038,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,20,80700,1614000,,Тимур Сергеев
2024-02-03,РН-202402-0039,ТОО Silk Way Trading,Бумага А4 (пачка),45,110500,4972500,2024-02-12,Тимур Сергеев
2024-02-05,РН-202402-0040,ИП Тлеуов Б.М.,Ноутбук офисный,28,89500,2506000,2024-03-04,Дана Оспанова
2024-02-05,РН-202402-0041,ИП Иванова О.В.,Картридж для принтера,37,10400,384800,2024-02-17,Дана Оспанова
2024-02-06,РН-202402-0042,ТОО Shymkent Opt,Калькулятор,42,120900,5077800,,Тимур Сергеев
2024-02-07,РН-202402-0043,ИП Тлеуов Б.М.,Папки-регистраторы,41,133900,5489900,2024-02-24,Айгуль Нурланова
2024-02-08,РН-202402-0044,ТОО Батыс Снаб,Принтер лазерный,11,91500,1006500,2024-02-27,Тимур Сергеев
2024-02-08,РН-202402-0045,ИП Иванова О.В.,Флеш-накопитель 32 ГБ,36,14600,525600,,Тимур Сергеев
2024-02-09,РН-202402-0046,ТОО Nur Business Group,Ручки шариковые (уп. 50 шт),8,111000,888000,2024-03-04,Дана Оспанова
2024-02-09,РН-202402-0047,ТОО Shymkent Opt,Папки-регистраторы,4,54200,216800,2024-02-14,Дана Оспанова
2024-02-10,РН-202402-0048,ТОО Shymkent Opt,Флеш-накопитель 32 ГБ,4,58400,233600,2024-02-13,Тимур Сергеев
2024-02-10,РН-202402-0049,ТОО Аспан Технолоджи,Проектор,32,36800,1177600,2024-02-24,Айгуль Нурланова
2024-02-12,РН-202402-0050,ТОО Silk Way Trading,МФУ струйное,20,149400,2988000,2024-02-22,Айгуль Нурланова
2024-02-13,РН-202402-0051,ТОО Shymkent Opt,Принтер лазерный,42,45400,1906800,2024-03-13,Тимур Сергеев
2024-02-13,РН-202402-0052,ТОО Nur Business Group,Папки-регистраторы,31,128800,3992800,2024-02-26,Айгуль Нурланова
2024-02-14,РН-202402-0053,ТОО Аспан Технолоджи,Кресло офисное,33,40800,1346400,2024-02-17,Айгуль Нурланова
2024-02-14,РН-202402-0054,ИП Смагулова А.К.,Шредер бумаги,33,75000,2475000,2024-03-10,Айгуль Нурланова
2024-02-14,РН-202402-0055,ИП Тлеуов Б.М.,Стол офисный,32,44000,1408000,2024-03-09,Тимур Сергеев
2024-02-15,РН-202402-0056,ТОО Жетысу Маркет,Калькулятор,25,124400,3110000,2024-02-16,Тимур Сергеев
2024-02-16,РН-202402-0057,ИП Тлеуов Б.М.,Папки-регистраторы,15,112700,1690500,2024-03-06,Айгуль Нурланова
2024-02-16,РН-202402-0058,ТОО Астана Комплект,Стол офисный,42,44900,1885800,2024-03-12,Тимур Сергеев
2024-02-19,РН-202402-0059,ИП Смагулова А.К.,Картридж для принтера,7,120400,842800,2024-03-20,Айгуль Нурланова
2024-02-19,РН-202402-0060,ИП Ахметов Е.С.,Папки-регистраторы,42,45500,1911000,2024-02-21,Айгуль Нурланова
2024-02-21,РН-202402-0061,ИП Тлеуов Б.М.,Проектор,26,26100,678600,2024-02-24,Тимур Сергеев
2024-02-21,РН-202402-0062,ИП Смагулова А.К.,Стол офисный,46,132900,6113400,,Дана Оспанова
2024-02-21,РН-202402-0063,ТОО КазОфисТорг,Монитор 24 дюйма,41,80300,3292300,2024-03-02,Айгуль Нурланова
2024-02-21,РН-202402-0064,ТОО Жетысу Маркет,Стол офисный,46,31300,1439800,,Тимур Сергеев
2024-02-23,РН-202402-0065,ТОО Nur Business Group,Шредер бумаги,2,17100,34200,2024-03-12,Тимур Сергеев
2024-02-23,РН-202402-0066,ТОО Астана Комплект,МФУ струйное,16,144200,2307200,2024-02-24,Тимур Сергеев
2024-02-26,РН-202402-0067,ИП Ахметов Е.С.,Принтер лазерный,40,105300,4212000,2024-03-22,Дана Оспанова
2024-02-29,РН-202402-0068,ИП Ахметов Е.С.,Монитор 24 дюйма,30,71600,2148000,2024-03-21,Тимур Сергеев
2024-03-01,РН-202403-0069,ТОО Аспан Технолоджи,Бумага А4 (пачка),44,148300,6525200,,Айгуль Нурланова
2024-03-02,РН-202403-0070,ИП Смагулова А.К.,Кресло офисное,20,116200,2324000,2024-03-03,Дана Оспанова
2024-03-02,РН-202403-0071,ТОО Астана Комплект,Картридж для принтера,31,33000,1023000,2024-03-18,Айгуль Нурланова
2024-03-02,РН-202403-0072,ТОО Silk Way Trading,Бумага А4 (пачка),2,108800,217600,,Тимур Сергеев
2024-03-02,РН-202403-0073,ИП Иванова О.В.,Стол офисный,50,17900,895000,2024-03-04,Дана Оспанова
2024-03-02,РН-202403-0074,ТОО Жетысу Маркет,Флеш-накопитель 32 ГБ,15,97400,1461000,2024-03-30,Айгуль Нурланова
2024-03-04,РН-202403-0075,ТОО Жетысу Маркет,Проектор,50,40900,2045000,,Дана Оспанова
2024-03-05,РН-202403-0076,ТОО Батыс Снаб,Стол офисный,3,86000,258000,,Тимур Сергеев
2024-03-05,РН-202403-0077,ИП Смагулова А.К.,Проектор,9,28600,257400,2024-03-18,Тимур Сергеев
2024-03-06,РН-202403-0078,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,35,100900,3531500,2024-03-18,Дана Оспанова
2024-03-06,РН-202403-0079,ТОО Nur Business Group,Шредер бумаги,31,82400,2554400,2024-03-09,Дана Оспанова
2024-03-07,РН-202403-0080,ТОО КазОфисТорг,МФУ струйное,49,64100,3140900,2024-03-13,Дана Оспанова
2024-03-08,РН-202403-0081,ТОО Жетысу Маркет,Калькулятор,24,28700,688800,,Тимур Сергеев
2024-03-08,РН-202403-0082,ТОО Каспий Логистик,Принтер лазерный,30,101600,3048000,2024-03-27,Дана Оспанова
2024-03-09,РН-202403-0083,ИП Иванова О.В.,Стол офисный,24,33400,801600,2024-04-02,Дана Оспанова
2024-03-11,РН-202403-0084,ИП Смагулова А.К.,Шредер бумаги,40,63000,2520000,,Дана Оспанова
2024-03-11,РН-202403-0085,ИП Иванова О.В.,Степлер,45,84200,3789000,2024-03-19,Дана Оспанова
2024-03-12,РН-202403-0086,ТОО Nur Business Group,Степлер,8,30500,244000,2024-04-02,Айгуль Нурланова
2024-03-12,РН-202403-0087,ИП Смагулова А.К.,Стол офисный,48,146600,7036800,2024-04-01,Тимур Сергеев
2024-03-13,РН-202403-0088,ТОО Батыс Снаб,Принтер лазерный,32,112000,3584000,,Тимур Сергеев
2024-03-13,РН-202403-0089,ИП Смагулова А.К.,Монитор 24 дюйма,29,121600,3526400,2024-04-10,Айгуль Нурланова
2024-03-14,РН-202403-0090,ИП Смагулова А.К.,Калькулятор,42,99000,4158000,2024-03-24,Айгуль Нурланова
2024-03-14,РН-202403-0091,ИП Иванова О.В.,Картридж для принтера,30,29000,870000,2024-03-21,Дана Оспанова
2024-03-14,РН-202403-0092,ТОО Алматы Строй Сервис,Флеш-накопитель 32 ГБ,22,68800,1513600,2024-04-07,Айгуль Нурланова
2024-03-15,РН-202403-0093,ТОО Достык Trade,Кресло офисное,14,66100,925400,2024-03-19,Тимур Сергеев
2024-03-16,РН-202403-0094,ТОО Алматы Строй Сервис,Бумага А4 (пачка),10,39100,391000,2024-04-13,Дана Оспанова
2024-03-16,РН-202403-0095,ИП Иванова О.В.,Ноутбук офисный,9,8900,80100,2024-04-02,Тимур Сергеев
2024-03-16,РН-202403-0096,ТОО Алматы Строй Сервис,МФУ струйное,17,18700,317900,2024-04-15,Айгуль Нурланова
2024-03-16,РН-202403-0097,ТОО КазОфисТорг,Степлер,29,99900,2897100,2024-03-30,Дана Оспанова
2024-03-16,РН-202403-0098,ИП Тлеуов Б.М.,Ноутбук офисный,47,141700,6659900,2024-03-16,Тимур Сергеев
2024-03-18,РН-202403-0099,ТОО Shymkent Opt,Картридж для принтера,26,116700,3034200,,Дана Оспанова
2024-03-18,РН-202403-0100,ТОО Silk Way Trading,Шредер бумаги,29,24300,704700,2024-03-29,Айгуль Нурланова
2024-03-18,РН-202403-0101,ТОО Nur Business Group,Кресло офисное,41,148700,6096700,2024-03-22,Дана Оспанова
2024-03-19,РН-202403-0102,ТОО Nur Business Group,Степлер,33,117800,3887400,2024-04-15,Айгуль Нурланова
2024-03-19,РН-202403-0103,ТОО Батыс Снаб,Шредер бумаги,50,149500,7475000,2024-04-02,Дана Оспанова
2024-03-19,РН-202403-0104,ТОО Астана Комплект,Ручки шариковые (уп. 50 шт),30,109500,3285000,2024-04-05,Тимур Сергеев
2024-03-19,РН-202403-0105,ТОО Батыс Снаб,Бумага А4 (пачка),24,45000,1080000,2024-03-28,Дана Оспанова
2024-03-19,РН-202403-0106,ТОО КазОфисТорг,Папки-регистраторы,7,102700,718900,2024-04-12,Айгуль Нурланова
2024-03-19,РН-202403-0107,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),43,37000,1591000,2024-04-08,Тимур Сергеев
2024-03-19,РН-202403-0108,ИП Иванова О.В.,Шредер бумаги,47,18500,869500,2024-04-13,Тимур Сергеев
2024-03-20,РН-202403-0109,ТОО Каспий Логистик,Монитор 24 дюйма,10,131400,1314000,2024-04-13,Айгуль Нурланова
2024-03-20,РН-202403-0110,ИП Смагулова А.К.,Принтер лазерный,49,78000,3822000,2024-04-13,Дана Оспанова
2024-03-20,РН-202403-0111,ТОО Жетысу Маркет,Картридж для принтера,40,11900,476000,2024-03-22,Дана Оспанова
2024-03-21,РН-202403-0112,ТОО Алматы Строй Сервис,МФУ струйное,18,86000,1548000,2024-04-01,Тимур Сергеев
2024-03-21,РН-202403-0113,ИП Тлеуов Б.М.,Стол офисный,26,23200,603200,2024-03-21,Айгуль Нурланова
2024-03-21,РН-202403-0114,ТОО Silk Way Trading,Калькулятор,14,103600,1450400,2024-04-06,Тимур Сергеев
2024-03-21,РН-202403-0115,ТОО Silk Way Trading,Ручки шариковые (уп. 50 шт),50,27300,1365000,,Айгуль Нурланова
2024-03-21,РН-202403-0116,ТОО Жетысу Маркет,Кресло офисное,4,26400,105600,2024-04-16,Тимур Сергеев
2024-03-21,РН-202403-0117,ТОО Shymkent Opt,Папки-регистраторы,18,61500,1107000,,Дана Оспанова
2024-03-22,РН-202403-0118,ТОО Астана Комплект,Принтер лазерный,19,132600,2519400,2024-04-10,Дана Оспанова
2024-03-22,РН-202403-0119,ИП Тлеуов Б.М.,Ноутбук офисный,1,58600,58600,2024-03-28,Тимур Сергеев
2024-03-23,РН-202403-0120,ТОО Nur Business Group,Бумага А4 (пачка),21,36500,766500,2024-04-03,Айгуль Нурланова
2024-03-23,РН-202403-0121,ТОО Астана Комплект,Калькулятор,46,65300,3003800,2024-04-10,Дана Оспанова
2024-03-25,РН-202403-0122,ТОО КазОфисТорг,Папки-регистраторы,48,16100,772800,,Тимур Сергеев
2024-03-25,РН-202403-0123,ТОО Аспан Технолоджи,Принтер лазерный,21,117500,2467500,2024-04-10,Дана Оспанова
2024-03-26,РН-202403-0124,ТОО КазОфисТорг,Папки-регистраторы,2,90100,180200,2024-04-24,Айгуль Нурланова
2024-03-26,РН-202403-0125,ТОО Аспан Технолоджи,Ручки шариковые (уп. 50 шт),6,119500,717000,2024-04-18,Айгуль Нурланова
2024-03-26,РН-202403-0126,ТОО КазОфисТорг,Папки-регистраторы,20,94000,1880000,2024-04-18,Айгуль Нурланова
2024-03-26,РН-202403-0127,ТОО Батыс Снаб,Принтер лазерный,34,138700,4715800,2024-04-25,Айгуль Нурланова
2024-03-26,РН-202403-0128,ИП Иванова О.В.,Стол офисный,10,66900,669000,,Айгуль Нурланова
2024-03-26,РН-202403-0129,ТОО Достык Trade,МФУ струйное,39,45100,1758900,,Дана Оспанова
2024-03-26,РН-202403-0130,ТОО Жетысу Маркет,Стол офисный,32,126600,4051200,2024-04-20,Дана Оспанова
2024-03-28,РН-202403-0131,ТОО Батыс Снаб,Стол офисный,40,89700,3588000,2024-04-19,Дана Оспанова
2024-03-28,РН-202403-0132,ТОО Shymkent Opt,Стол офисный,20,77000,1540000,,Дана Оспанова
2024-03-29,РН-202403-0133,ТОО Каспий Логистик,Принтер лазерный,20,126000,2520000,,Тимур Сергеев
2024-03-29,РН-202403-0134,ИП Смагулова А.К.,Картридж для принтера,19,25100,476900,2024-04-02,Дана Оспанова
2024-03-29,РН-202403-0135,ИП Тлеуов Б.М.,Калькулятор,25,126300,3157500,2024-03-29,Дана Оспанова
2024-03-30,РН-202403-0136,ТОО Shymkent Opt,Шредер бумаги,37,54300,2009100,2024-04-07,Тимур Сергеев
2024-03-30,РН-202403-0137,ТОО Shymkent Opt,Принтер лазерный,22,27100,596200,2024-04-28,Дана Оспанова
2024-03-30,РН-202403-0138,ТОО Shymkent Opt,Степлер,34,142000,4828000,,Дана Оспанова
2024-03-30,РН-202403-0139,ИП Смагулова А.К.,Шредер бумаги,19,106600,2025400,2024-04-07,Тимур Сергеев
2024-03-30,РН-202403-0140,ТОО Жетысу Маркет,Стол офисный,42,92700,3893400,2024-04-18,Айгуль Нурланова
2024-03-30,РН-202403-0141,ТОО Nur Business Group,Бумага А4 (пачка),47,44400,2086800,,Тимур Сергеев
2024-03-30,РН-202403-0142,ТОО Батыс Снаб,МФУ струйное,23,86300,1984900,2024-04-25,Дана Оспанова
2024-03-30,РН-202403-0143,ТОО Silk Way Trading,Принтер лазерный,20,103700,2074000,2024-04-04,Дана Оспанова
2024-03-30,РН-202403-0144,ТОО Silk Way Trading,Картридж для принтера,48,143000,6864000,2024-04-17,Айгуль Нурланова
2024-03-30,РН-202403-0145,ТОО Алматы Строй Сервис,Ручки шариковые (уп. 50 шт),20,52300,1046000,2024-03-31,Айгуль Нурланова
2024-04-01,РН-202404-0146,ТОО Достык Trade,МФУ струйное,10,25200,252000,2024-04-25,Тимур Сергеев
2024-04-02,РН-202404-0147,ИП Иванова О.В.,Проектор,34,14900,506600,2024-04-03,Дана Оспанова
2024-04-02,РН-202404-0148,ИП Тлеуов Б.М.,Папки-регистраторы,10,47500,475000,2024-04-08,Айгуль Нурланова
2024-04-02,РН-202404-0149,ТОО Аспан Технолоджи,МФУ струйное,47,119700,5625900,2024-04-16,Айгуль Нурланова
2024-04-03,РН-202404-0150,ТОО Shymkent Opt,Кресло офисное,19,122700,2331300,2024-04-25,Айгуль Нурланова
2024-04-03,РН-202404-0151,ТОО Аспан Технолоджи,Картридж для принтера,13,101400,1318200,2024-04-06,Дана Оспанова
2024-04-04,РН-202404-0152,ТОО Жетысу Маркет,Бумага А4 (пачка),50,105100,5255000,2024-04-10,Дана Оспанова
2024-04-04,РН-202404-0153,ТОО Достык Trade,Флеш-накопитель 32 ГБ,39,41300,1610700,,Тимур Сергеев
2024-04-06,РН-202404-0154,ТОО Shymkent Opt,Картридж для принтера,24,31900,765600,2024-04-08,Дана Оспанова
2024-04-06,РН-202404-0155,ТОО КазОфисТорг,Флеш-накопитель 32 ГБ,11,76500,841500,2024-04-26,Тимур Сергеев
2024-04-08,РН-202404-0156,ТОО КазОфисТорг,Шредер бумаги,15,123300,1849500,2024-04-27,Тимур Сергеев
2024-04-10,РН-202404-0157,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),16,106200,1699200,2024-04-20,Айгуль Нурланова
2024-04-10,РН-202404-0158,ИП Иванова О.В.,Проектор,42,92900,3901800,,Айгуль Нурланова
2024-04-10,РН-202404-0159,ТОО Nur Business Group,Шредер бумаги,31,41400,1283400,2024-04-19,Дана Оспанова
2024-04-11,РН-202404-0160,ТОО Алматы Строй Сервис,Бумага А4 (пачка),14,44200,618800,2024-05-01,Дана Оспанова
2024-04-11,РН-202404-0161,ТОО КазОфисТорг,Флеш-накопитель 32 ГБ,19,67300,1278700,,Тимур Сергеев
2024-04-11,РН-202404-0162,ТОО Достык Trade,Папки-регистраторы,41,124800,5116800,,Айгуль Нурланова
2024-04-11,РН-202404-0163,ТОО Аспан Технолоджи,Степлер,39,145500,5674500,2024-05-10,Айгуль Нурланова
2024-04-13,РН-202404-0164,ИП Ахметов Е.С.,Бумага А4 (пачка),28,5400,151200,2024-04-25,Дана Оспанова
2024-04-13,РН-202404-0165,ТОО Батыс Снаб,Стол офисный,6,142200,853200,,Тимур Сергеев
2024-04-13,РН-202404-0166,ТОО Каспий Логистик,Калькулятор,33,138100,4557300,,Дана Оспанова
2024-04-15,РН-202404-0167,ИП Иванова О.В.,Степлер,3,106400,319200,2024-04-24,Тимур Сергеев
2024-04-15,РН-202404-0168,ИП Смагулова А.К.,Монитор 24 дюйма,47,32200,1513400,2024-04-23,Дана Оспанова
2024-04-16,РН-202404-0169,ИП Смагулова А.К.,Калькулятор,22,50900,1119800,2024-05-13,Дана Оспанова
2024-04-16,РН-202404-0170,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,9,21500,193500,2024-05-02,Дана Оспанова
2024-04-16,РН-202404-0171,ТОО Достык Trade,Ноутбук офисный,13,16000,208000,2024-05-10,Тимур Сергеев
2024-04-17,РН-202404-0172,ТОО Shymkent Opt,Бумага А4 (пачка),3,55100,165300,2024-04-23,Тимур Сергеев
2024-04-17,РН-202404-0173,ТОО Батыс Снаб,Ручки шариковые (уп. 50 шт),18,37600,676800,2024-05-08,Тимур Сергеев
2024-04-18,РН-202404-0174,ТОО Аспан Технолоджи,Папки-регистраторы,22,54000,1188000,2024-05-11,Тимур Сергеев
2024-04-19,РН-202404-0175,ТОО Nur Business Group,Флеш-накопитель 32 ГБ,6,116300,697800,2024-04-20,Айгуль Нурланова
2024-04-20,РН-202404-0176,ТОО Каспий Логистик,Бумага А4 (пачка),21,31900,669900,2024-05-11,Айгуль Нурланова
2024-04-22,РН-202404-0177,ИП Тлеуов Б.М.,Проектор,28,48700,1363600,2024-05-22,Дана Оспанова
2024-04-23,РН-202404-0178,ИП Иванова О.В.,Шредер бумаги,23,119000,2737000,2024-04-23,Тимур Сергеев
2024-04-23,РН-202404-0179,ТОО КазОфисТорг,Стол офисный,41,111500,4571500,2024-05-05,Тимур Сергеев
2024-04-24,РН-202404-0180,ТОО Алматы Строй Сервис,МФУ струйное,39,119900,4676100,,Айгуль Нурланова
2024-04-24,РН-202404-0181,ТОО Достык Trade,Флеш-накопитель 32 ГБ,42,101000,4242000,2024-05-20,Тимур Сергеев
2024-04-24,РН-202404-0182,ИП Ахметов Е.С.,Стол офисный,29,102200,2963800,2024-05-05,Тимур Сергеев
2024-04-25,РН-202404-0183,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),26,87400,2272400,2024-04-25,Дана Оспанова
2024-04-25,РН-202404-0184,ТОО Silk Way Trading,МФУ струйное,32,140700,4502400,2024-05-10,Тимур Сергеев
2024-04-29,РН-202404-0185,ТОО Silk Way Trading,Степлер,14,79900,1118600,2024-05-09,Дана Оспанова
2024-05-03,РН-202405-0186,ИП Ахметов Е.С.,Картридж для принтера,5,123500,617500,2024-05-12,Айгуль Нурланова
2024-05-04,РН-202405-0187,ТОО Жетысу Маркет,Стол офисный,21,96100,2018100,,Дана Оспанова
2024-05-06,РН-202405-0188,ТОО Каспий Логистик,Бумага А4 (пачка),20,46300,926000,2024-05-18,Дана Оспанова
2024-05-06,РН-202405-0189,ТОО Жетысу Маркет,Ручки шариковые (уп. 50 шт),33,63800,2105400,2024-05-07,Айгуль Нурланова
2024-05-09,РН-202405-0190,ТОО Жетысу Маркет,Степлер,2,99600,199200,2024-06-02,Дана Оспанова
2024-05-09,РН-202405-0191,ИП Ахметов Е.С.,Кресло офисное,6,22200,133200,2024-05-31,Тимур Сергеев
2024-05-09,РН-202405-0192,ТОО Каспий Логистик,Папки-регистраторы,50,112300,5615000,,Дана Оспанова
2024-05-10,РН-202405-0193,ИП Смагулова А.К.,Стол офисный,5,123000,615000,2024-06-03,Тимур Сергеев
2024-05-10,РН-202405-0194,ТОО Батыс Снаб,Кресло офисное,12,38800,465600,2024-05-16,Тимур Сергеев
2024-05-11,РН-202405-0195,ТОО КазОфисТорг,Калькулятор,10,84700,847000,,Айгуль Нурланова
2024-05-16,РН-202405-0196,ТОО Аспан Технолоджи,Проектор,15,95700,1435500,2024-05-18,Дана Оспанова
2024-05-16,РН-202405-0197,ТОО Достык Trade,Стол офисный,36,76900,2768400,2024-05-25,Айгуль Нурланова
2024-05-17,РН-202405-0198,ТОО Каспий Логистик,Стол офисный,11,45400,499400,2024-06-12,Айгуль Нурланова
2024-05-17,РН-202405-0199,ИП Смагулова А.К.,Картридж для принтера,37,15800,584600,,Айгуль Нурланова
2024-05-18,РН-202405-0200,ТОО Батыс Снаб,Флеш-накопитель 32 ГБ,37,74400,2752800,2024-06-13,Дана Оспанова
2024-05-18,РН-202405-0201,ТОО Батыс Снаб,Ноутбук офисный,32,148000,4736000,2024-06-01,Тимур Сергеев
2024-05-18,РН-202405-0202,ТОО Жетысу Маркет,Флеш-накопитель 32 ГБ,44,111500,4906000,2024-05-30,Тимур Сергеев
2024-05-20,РН-202405-0203,ТОО Shymkent Opt,Папки-регистраторы,31,126800,3930800,2024-06-18,Айгуль Нурланова
2024-05-20,РН-202405-0204,ИП Смагулова А.К.,Проектор,23,109500,2518500,2024-05-30,Айгуль Нурланова
2024-05-21,РН-202405-0205,ИП Смагулова А.К.,Монитор 24 дюйма,30,37100,1113000,2024-05-29,Тимур Сергеев
2024-05-21,РН-202405-0206,ТОО Nur Business Group,Папки-регистраторы,40,114600,4584000,2024-05-27,Айгуль Нурланова
2024-05-23,РН-202405-0207,ИП Смагулова А.К.,Шредер бумаги,37,87000,3219000,2024-06-15,Айгуль Нурланова
2024-05-23,РН-202405-0208,ТОО Shymkent Opt,Степлер,20,135400,2708000,,Айгуль Нурланова
2024-05-24,РН-202405-0209,ТОО Астана Комплект,Калькулятор,30,68100,2043000,2024-06-09,Айгуль Нурланова
2024-05-25,РН-202405-0210,ТОО Shymkent Opt,Кресло офисное,42,128400,5392800,2024-05-28,Тимур Сергеев
2024-05-25,РН-202405-0211,ИП Ахметов Е.С.,Шредер бумаги,17,100900,1715300,2024-06-19,Тимур Сергеев
2024-05-25,РН-202405-0212,ТОО Каспий Логистик,Монитор 24 дюйма,24,80700,1936800,2024-06-18,Айгуль Нурланова
2024-05-25,РН-202405-0213,ТОО Nur Business Group,Картридж для принтера,40,36100,1444000,2024-06-11,Айгуль Нурланова
2024-05-25,РН-202405-0214,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),49,42800,2097200,2024-06-02,Айгуль Нурланова
2024-05-25,РН-202405-0215,ТОО Алматы Строй Сервис,Ноутбук офисный,9,92300,830700,2024-06-17,Тимур Сергеев
2024-05-27,РН-202405-0216,ИП Ахметов Е.С.,Ручки шариковые (уп. 50 шт),40,88500,3540000,2024-06-12,Айгуль Нурланова
2024-05-27,РН-202405-0217,ИП Тлеуов Б.М.,Ручки шариковые (уп. 50 шт),33,138600,4573800,2024-06-18,Дана Оспанова
2024-05-27,РН-202405-0218,ИП Иванова О.В.,Ноутбук офисный,24,91800,2203200,,Дана Оспанова
